company,stock price,shares,investment($)
AAPL,232.14,2,464.28
MSFT,506.69,2,1013.38
NVDA,174.18,3,522.54
AMZN,229.0,2,458.0
GOOGL,212.91,6,1277.46
TSLA,333.87,1,333.87
META,738.7,1,738.7
BRK_B,502.98,2,1005.96
AVGO,297.39,2,594.78
LLY,732.58,3,2197.7400000000002
JPM,301.42,6,1808.52
V,351.78,5,1758.8999999999999
WMT,96.98,10,969.8000000000001
XOM,114.29,1,114.29
UNH,309.87,3,929.61
MA,595.29,4,2381.16
PG,157.04,5,785.1999999999999
JNJ,177.17,6,1063.02
HD,406.77,2,813.54
BAC,50.74,3,152.22
